key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name,year,map_name
"(21456, 'Temple of Anubis')",draw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida Mayhem,Los Angeles Valiant,2019,Temple of Anubis
"(21456, 'Hollywood')",Florida Mayhem,0.0,0.0,0.0,0.0,149.0380096435547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Florida Mayhem,Los Angeles Valiant,2019,Hollywood
"(21456, 'Junkertown')",Los Angeles Valiant,151.05274200439453,141.98240661621094,49.191123962402344,203.80123901367188,60.0,47.64399719238281,0.0,215.2879943847656,0.0,0.0,0.0,0.0,Los Angeles Valiant,Florida Mayhem,2019,Junkertown
"(21463, 'Ilios')",Chengdu Hunters,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,0.0,0.0,282.0,Chengdu Hunters,Hangzhou Spark,2019,Ilios
"(21463, 'Hanamura')",Hangzhou Spark,0.0,0.0,0.0,0.0,180.39300537109372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Chengdu Hunters,2019,Hanamura
"(21463, ""King's Row"")",Hangzhou Spark,66.63457489013672,66.62518310546875,0.0,66.62518310546875,134.19500732421878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Chengdu Hunters,2019,King's Row
"(21463, 'Havana')",Hangzhou Spark,157.86835098266602,157.86012649536133,103.36192321777344,157.86012649536133,253.70206451416016,0.0,164.8560333251953,60.0,0.0,0.0,0.0,0.0,Hangzhou Spark,Chengdu Hunters,2019,Havana
"(21492, 'Busan')",Vancouver Titans,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,299.0,Philadelphia Fusion,Vancouver Titans,2019,Busan
"(21492, 'Hanamura')",Vancouver Titans,0.0,0.0,0.0,0.0,225.5330047607422,362.2740478515625,0.0,491.3280334472656,0.0,0.0,0.0,0.0,Philadelphia Fusion,Vancouver Titans,2019,Hanamura
"(21492, 'Blizzard World')",Vancouver Titans,110.8589096069336,111.58460235595705,0.0,111.58460235595705,0.0,26.469024658203125,0.0,26.469024658203125,0.0,0.0,0.0,0.0,Philadelphia Fusion,Vancouver Titans,2019,Blizzard World
"(21492, 'Route 66')",Vancouver Titans,70.5163803100586,74.54437255859375,0.0,74.54437255859375,0.0,89.21702575683594,0.0,89.21702575683594,0.0,0.0,0.0,0.0,Philadelphia Fusion,Vancouver Titans,2019,Route 66
"(21483, 'Lijiang Tower')",Houston Outlaws,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,0.0,232.0,Washington Justice,Houston Outlaws,2019,Lijiang Tower
"(21483, 'Hanamura')",Washington Justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Houston Outlaws,2019,Hanamura
"(21483, ""King's Row"")",Houston Outlaws,104.08910369873048,104.08902740478516,0.0,104.08902740478516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Houston Outlaws,Washington Justice,2019,King's Row
"(21483, 'Route 66')",Washington Justice,59.08628845214844,59.07569885253906,0.0,59.07569885253906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Washington Justice,Houston Outlaws,2019,Route 66
"(21483, 'Busan')",Washington Justice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.0,0.0,0.0,283.0,Washington Justice,Houston Outlaws,2019,Busan
"(21502, 'Ilios')",San Francisco Shock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,69.0,San Francisco Shock,Dallas Fuel,2019,Ilios
