key,map_winner,attacker_payload_distance1,attacker_payload_distance2,defender_payload_distance1,defender_payload_distance2,attacker_time_banked1,attacker_time_banked2,defender_time_banked1,defender_time_banked2,attacker_control_perecent1,attacker_control_perecent2,defender_control_perecent1,defender_control_perecent2,team_one_name,team_two_name
"(32854, 3)",Hangzhou Spark,0.0,0.0,0.0,0.0,0.0,125.6240005493164,0.0,125.6240005493164,0.0,0.0,0.0,0.0,Chengdu Hunters,Hangzhou Spark
"(33022, 1)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,0.0,0.0,299.0,Vancouver Titans,Guangzhou Charge
"(33022, 2)",Guangzhou Charge,115.56915283203124,119.1289520263672,0.0,119.1289520263672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Vancouver Titans,Guangzhou Charge
"(33022, 3)",Guangzhou Charge,0.0,0.0,0.0,0.0,0.0,232.75900268554688,0.0,232.75900268554688,0.0,0.0,0.0,0.0,Vancouver Titans,Guangzhou Charge
"(31094, 1)",Paris Eternal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.0,0.0,0.0,299.0,Philadelphia Fusion,Paris Eternal
"(31094, 2)",Paris Eternal,79.11043548583984,79.10475158691406,79.11043548583984,79.10475158691406,0.0,202.59090423583984,0.0,115.97395324707031,0.0,0.0,0.0,0.0,Philadelphia Fusion,Paris Eternal
"(31094, 3)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,269.6210327148437,0.0,269.6210327148437,0.0,0.0,0.0,0.0,Paris Eternal,Philadelphia Fusion
"(31094, 4)",Philadelphia Fusion,95.7157745361328,95.71157836914062,0.0,95.71157836914062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Philadelphia Fusion,Paris Eternal
"(31094, 5)",Philadelphia Fusion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,148.0,Philadelphia Fusion,Paris Eternal
"(31087, 1)",Houston Outlaws,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,159.0,Houston Outlaws,Boston Uprising
